Time,Milliseconds,Acceleration X,Acceleration Y,Acceleration Z,Gravity X,Gravity Y,Gravity Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z
"23:3:31",4510124,-0.2540743,0.9480411,0.07457724,30.15137,99.42627,59.2041,30.15137,99.42627,59.2041
"23:3:31",4510224,-0.1849825,0.9866153,-0.04724893,-31.25,222.5952,26.00098,-31.25,222.5952,26.00098
"23:3:31",4510324,-0.1395723,0.9612247,-0.06604776,-45.47119,261.9019,24.90234,-54.50439,266.5405,24.90234
"23:3:31",4510424,-0.1200411,1.007123,-0.09046182,-74.03564,236.8164,-21.11816,-77.33154,236.8164,-21.11816
"23:3:31",4510524,-0.1239473,0.9988223,-0.00208291,-22.76611,82.51953,2.807617,-21.11816,82.51953,2.807617
"23:3:31",4510624,-0.2059786,1.01518,-0.07434854,21.54541,166.1987,-1.953125,28.38135,166.1987,-1.953125
"23:3:31",4510723,-0.08976765,1.017865,-0.1153642,-31.55518,-14.52637,-63.04932,-31.55518,-14.52637,-63.04932
"23:3:32",4510825,0.003494069,0.9714786,-0.05164346,-27.771,176.1475,27.83203,-27.771,176.1475,27.83203
"23:3:32",4510924,-0.09391804,0.9490176,-0.006965723,9.765625,77.27051,-5.432129,9.765625,77.27051,-5.432129
"23:3:32",4511024,-0.2653048,0.8293887,0.3897628,-9.216309,24.53613,12.69531,-9.216309,24.53613,12.69531
"23:3:32",4511126,0.03059368,1.027875,0.01451865,2.319336,94.60449,29.78516,1.525879,94.60449,29.78516
"23:3:32",4511224,0.09187298,0.9568301,0.1028975,61.76758,216.0034,3.173828,61.76758,216.0034,3.173828
"23:3:32",4511324,0.06867962,0.9846622,-0.05506143,-0.6103516,69.15283,19.34814,-5.126953,70.25146,19.34814
"23:3:32",4511424,0.07527142,0.9753848,0.03234092,-7.324219,140.5029,6.103516,-5.615234,143.1885,6.103516
"23:3:32",4511524,0.1055449,0.9995547,-0.0152665,3.112793,108.3984,10.68115,7.019043,103.6987,10.68115
"23:3:32",4511621,0.1558378,0.9714786,-0.05530557,-6.958008,116.333,-25.5127,-16.05225,127.8687,-25.5127
"23:3:32",4511724,0.1172636,1.002729,-0.02600869,18.37158,104.4922,2.746582,13.85498,104.248,2.746582
"23:3:33",4511824,0.196121,1.036664,0.007438574,-5.92041,18.79883,22.09473,-5.92041,18.79883,22.09473
"23:3:33",4511925,0.1182402,0.9714786,0.148796,58.83789,60.79102,45.10498,58.83789,60.79102,45.10498
"23:3:33",4512026,0.05378704,0.9475528,0.1287765,-10.43701,265.3198,-2.746582,-10.43701,265.3198,-2.746582
"23:3:33",4512124,0.01936321,0.9536563,0.1707686,6.469727,138.6108,-13.48877,6.469727,138.6108,-13.48877
"23:3:33",4512225,-0.05339069,1.010297,0.1866378,6.04248,154.1138,-19.59229,6.04248,154.1138,-19.59229
